locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNHNOIJP_00001	CDS	573				hypothetical protein
MNHNOIJP_00002	CDS	1029	nagZ_1	3.2.1.52		Beta-hexosaminidase
MNHNOIJP_00003	CDS	1467				hypothetical protein
MNHNOIJP_00004	CDS	1794	glmM_1			Phosphoglucosamine mutase
MNHNOIJP_00005	CDS	1056	trpS_1	6.1.1.2	COG0180	Tryptophan--tRNA ligase
MNHNOIJP_00006	CDS	1089	tqsA		COG0628	AI-2 transport protein TqsA
MNHNOIJP_00007	CDS	858				hypothetical protein
MNHNOIJP_00008	CDS	771	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
MNHNOIJP_00009	CDS	1005				hypothetical protein
MNHNOIJP_00010	CDS	375	acpS_1	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
MNHNOIJP_00011	CDS	840				hypothetical protein
MNHNOIJP_00012	CDS	741	truA_1	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MNHNOIJP_00013	CDS	600				hypothetical protein
MNHNOIJP_00014	CDS	1983	priA_1	3.6.4.-		primosomal protein N'
MNHNOIJP_00015	CDS	621	udk_1	2.7.1.48	COG0572	Uridine kinase
MNHNOIJP_00016	CDS	378	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
MNHNOIJP_00017	CDS	810				hypothetical protein
MNHNOIJP_00018	CDS	981				hypothetical protein
MNHNOIJP_00019	CDS	513				hypothetical protein
MNHNOIJP_00020	CDS	1668	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
MNHNOIJP_00021	CDS	699	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
MNHNOIJP_00022	CDS	288	queA_2	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
MNHNOIJP_00023	CDS	1044	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
MNHNOIJP_00024	CDS	594	ruvA	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvA
MNHNOIJP_00025	CDS	1140				hypothetical protein
MNHNOIJP_00026	CDS	732			COG0217	putative transcriptional regulatory protein
MNHNOIJP_00027	CDS	858	folD_1		COG0190	Bifunctional protein FolD protein
MNHNOIJP_00028	CDS	639				hypothetical protein
MNHNOIJP_00029	CDS	1050				hypothetical protein
MNHNOIJP_00030	CDS	636				hypothetical protein
MNHNOIJP_00031	CDS	981				hypothetical protein
MNHNOIJP_00032	CDS	1482				hypothetical protein
MNHNOIJP_00033	CDS	459	smpB_1		COG0691	SsrA-binding protein
MNHNOIJP_00034	CDS	540				hypothetical protein
MNHNOIJP_00035	CDS	1881	gyrA_1	5.6.2.2		DNA gyrase subunit A
